Total.Enrollment,Grade.PK,Grade.K,Grade.1,Grade.2,Grade.3,Grade.4,Grade.5,Grade.6,Grade.7,Grade.8,Grade.9,Grade.10,Grade.11,Grade.12,Female,Male,Asian,Black,Hispanic,Others,White,Disabled.Students,English.Learners,Poverty
190,26,39,39,21,16,26,23,0,0,0,0,0,0,0,93,97,9,72,104,2,3,65,19,171
183,18,27,47,31,19,17,24,0,0,0,0,0,0,0,84,99,8,65,107,1,2,64,17,169
176,14,32,33,39,23,17,18,0,0,0,0,0,0,0,83,93,9,57,105,3,2,60,16,149
178,17,28,33,27,31,24,18,0,0,0,0,0,0,0,83,95,14,51,105,4,4,51,12,152
190,17,28,32,33,23,31,26,0,0,0,0,0,0,0,99,91,20,52,110,2,6,45,8,161
285,36,39,38,36,45,47,44,0,0,0,0,0,0,0,141,144,41,56,148,10,30,89,25,213
270,30,44,40,39,35,40,42,0,0,0,0,0,0,0,132,138,30,47,158,8,27,82,18,200
270,21,47,43,41,43,35,40,0,0,0,0,0,0,0,125,145,27,55,169,3,16,82,13,217
271,24,37,46,47,40,43,34,0,0,0,0,0,0,0,127,144,24,51,180,1,15,88,9,207
257,13,34,38,42,46,42,42,0,0,0,0,0,0,0,114,143,23,49,166,3,16,87,8,197
631,54,114,111,98,109,71,74,0,0,0,0,0,0,0,305,326,223,54,314,16,24,144,104,448
633,51,102,108,100,98,104,70,0,0,0,0,0,0,0,301,332,231,53,309,15,25,144,120,411
581,46,82,90,98,92,81,92,0,0,0,0,0,0,0,277,304,204,46,286,21,24,123,88,353
540,41,83,83,92,95,77,69,0,0,0,0,0,0,0,265,275,175,52,264,22,27,116,93,315
497,34,71,82,69,89,83,69,0,0,0,0,0,0,0,244,253,147,51,264,19,16,114,86,356
393,18,33,32,35,34,45,43,43,57,53,0,0,0,0,196,197,26,108,246,1,12,129,25,373
395,18,40,32,29,35,32,44,63,43,59,0,0,0,0,199,196,25,110,245,1,14,119,26,381
394,18,33,41,30,27,36,33,64,62,50,0,0,0,0,200,194,18,113,249,0,14,122,29,384
350,13,21,24,37,31,29,36,38,59,62,0,0,0,0,170,180,19,102,216,2,11,130,27,348
333,13,25,18,22,47,35,36,38,41,58,0,0,0,0,150,183,11,106,204,3,9,122,25,325
179,18,40,33,26,23,20,19,0,0,0,0,0,0,0,93,86,13,45,101,3,17,59,8,145
199,25,35,34,38,25,21,21,0,0,0,0,0,0,0,98,101,14,41,124,0,20,68,7,166
203,15,47,42,35,28,19,17,0,0,0,0,0,0,0,100,103,9,40,131,2,21,65,6,172
200,22,38,37,28,28,26,21,0,0,0,0,0,0,0,97,103,8,37,129,5,21,66,5,165
203,26,40,29,36,22,23,27,0,0,0,0,0,0,0,100,103,6,37,128,8,24,67,2,166
287,33,39,40,46,48,38,43,0,0,0,0,0,0,0,124,163,17,65,173,5,27,99,19,259
282,33,35,39,44,43,46,42,0,0,0,0,0,0,0,120,162,20,51,185,5,21,93,18,266
258,20,36,39,37,35,43,48,0,0,0,0,0,0,0,105,153,19,49,169,2,19,85,15,240
247,21,46,34,37,33,32,44,0,0,0,0,0,0,0,104,143,13,48,167,3,16,81,10,239
245,35,27,44,37,30,36,36,0,0,0,0,0,0,0,101,144,11,51,167,3,13,71,5,223
416,36,63,85,56,74,56,46,0,0,0,0,0,0,0,201,215,57,40,183,20,116,70,20,221
419,35,54,68,80,54,72,56,0,0,0,0,0,0,0,203,216,54,41,186,16,122,68,9,217
394,29,47,50,60,88,54,66,0,0,0,0,0,0,0,188,206,63,39,170,16,106,63,5,213
383,32,62,54,50,59,76,50,0,0,0,0,0,0,0,179,204,70,37,161,10,105,55,20,221
379,30,64,52,55,48,57,73,0,0,0,0,0,0,0,166,213,64,37,168,11,99,47,14,235
318,33,41,38,53,46,49,58,0,0,0,0,0,0,0,152,166,84,63,162,0,9,89,47,294
255,15,28,41,38,49,41,43,0,0,0,0,0,0,0,118,137,65,49,133,0,8,82,33,238
263,15,39,33,47,40,51,38,0,0,0,0,0,0,0,125,138,56,53,145,2,7,98,31,244
354,22,29,58,51,61,59,74,0,0,0,0,0,0,0,171,183,55,71,213,5,10,143,33,319
297,20,36,27,47,52,57,58,0,0,0,0,0,0,0,131,166,33,64,182,7,11,119,26,269
393,12,30,31,31,34,34,28,61,63,69,0,0,0,0,194,199,22,50,310,1,10,137,55,314
380,18,26,29,27,35,32,34,53,65,61,0,0,0,0,198,182,21,40,302,2,15,134,65,290
376,13,26,25,29,30,34,29,69,49,72,0,0,0,0,188,188,20,47,292,4,13,132,54,296
382,18,31,28,25,28,32,34,64,66,56,0,0,0,0,182,200,18,45,304,4,11,124,45,287
371,18,28,29,24,24,28,29,60,65,66,0,0,0,0,182,189,21,46,292,2,10,115,36,324
384,31,69,48,61,53,63,59,0,0,0,0,0,0,0,174,210,24,53,285,15,7,119,32,375
386,33,65,58,45,65,56,64,0,0,0,0,0,0,0,179,207,21,55,294,10,6,117,40,372
354,22,56,56,52,42,67,59,0,0,0,0,0,0,0,160,194,23,40,277,6,8,132,30,341
356,34,56,56,47,51,44,68,0,0,0,0,0,0,0,162,194,17,42,285,8,4,121,32,349
340,32,68,56,49,44,50,41,0,0,0,0,0,0,0,152,188,8,43,281,7,1,122,27,331
668,36,88,78,75,79,83,67,40,61,61,0,0,0,0,336,332,523,20,54,16,55,76,91,474
665,36,76,79,76,73,75,79,69,42,60,0,0,0,0,338,327,499,21,58,29,58,85,116,459
663,36,63,73,77,61,63,77,84,78,51,0,0,0,0,331,332,471,24,77,34,57,121,115,468
672,36,71,59,68,65,56,63,89,86,79,0,0,0,0,330,342,468,30,81,36,57,125,109,461
684,35,72,69,54,72,65,53,94,83,87,0,0,0,0,341,343,475,25,92,42,50,113,103,462
501,32,48,41,47,49,51,45,49,73,66,0,0,0,0,232,269,12,140,327,1,21,141,76,437
482,33,38,47,46,41,53,51,51,54,68,0,0,0,0,229,253,9,151,297,1,24,131,71,412
489,31,47,48,50,43,43,54,52,60,61,0,0,0,0,216,273,9,145,312,2,21,146,77,424
445,29,35,41,47,48,49,34,52,52,58,0,0,0,0,195,250,10,141,278,1,15,138,64,382
433,19,37,40,43,43,47,42,47,55,60,0,0,0,0,185,248,8,127,286,0,12,126,69,396
323,0,0,0,0,0,0,0,13,19,33,59,68,68,63,129,194,44,84,172,13,10,107,64,271
255,0,0,0,0,0,0,0,17,14,19,59,52,36,58,96,159,32,66,142,6,9,83,30,227
185,0,0,0,0,0,0,0,0,14,11,42,49,37,32,68,117,22,49,106,2,6,64,26,163
140,0,0,0,0,0,0,0,0,0,0,40,35,31,34,53,87,21,34,77,1,7,38,20,128
171,0,0,0,0,0,0,0,0,0,0,72,40,30,29,81,90,19,43,97,4,8,42,23,156
158,0,0,0,0,0,0,0,46,51,61,0,0,0,0,63,95,16,39,94,4,5,57,9,144
149,0,0,0,0,0,0,0,50,45,54,0,0,0,0,67,82,12,40,87,5,5,60,10,129
156,0,0,0,0,0,0,0,46,54,56,0,0,0,0,76,80,12,45,86,6,7,60,10,127
127,0,0,0,0,0,0,0,27,44,56,0,0,0,0,60,67,11,41,65,4,6,56,6,98
106,0,0,0,0,0,0,0,32,23,51,0,0,0,0,48,58,4,34,58,4,6,45,3,87
276,36,45,47,41,38,46,23,0,0,0,0,0,0,0,119,157,22,33,67,18,136,79,2,89
289,36,45,48,45,44,28,43,0,0,0,0,0,0,0,131,158,29,32,64,17,147,71,4,83
299,36,49,50,47,45,45,27,0,0,0,0,0,0,0,144,155,28,26,62,19,164,59,2,66
315,36,48,49,49,44,47,42,0,0,0,0,0,0,0,155,160,32,17,61,21,184,59,4,71
318,36,46,50,50,48,40,48,0,0,0,0,0,0,0,161,157,32,17,64,22,183,55,4,80
100,0,0,0,0,0,0,0,22,33,45,0,0,0,0,46,54,5,17,75,3,0,28,24,94
86,0,0,0,0,0,0,0,31,24,31,0,0,0,0,40,46,4,18,57,3,4,35,11,75
110,0,0,0,0,0,0,0,39,35,36,0,0,0,0,49,61,6,30,69,1,4,43,16,96
234,0,0,0,0,0,0,0,67,77,90,0,0,0,0,102,132,22,67,133,1,11,109,23,205
203,0,0,0,0,0,0,0,69,65,69,0,0,0,0,88,115,18,47,128,2,8,90,11,178
258,36,40,33,29,38,36,46,0,0,0,0,0,0,0,136,122,37,31,84,4,102,66,11,124
255,34,44,40,34,27,41,35,0,0,0,0,0,0,0,130,125,29,29,92,4,101,61,13,119
267,33,47,46,39,33,26,43,0,0,0,0,0,0,0,129,138,27,28,104,6,102,65,18,128
295,35,59,55,48,35,35,28,0,0,0,0,0,0,0,140,155,30,29,114,14,108,67,12,142
315,36,57,61,48,46,35,32,0,0,0,0,0,0,0,146,169,31,29,124,20,111,67,9,142
300,18,38,44,39,51,57,53,0,0,0,0,0,0,0,142,158,29,43,92,6,130,84,10,134
302,16,63,39,42,37,53,52,0,0,0,0,0,0,0,144,158,22,45,87,4,144,78,13,121
313,16,58,62,38,44,39,56,0,0,0,0,0,0,0,143,170,17,40,107,8,141,77,11,122
304,18,58,51,56,44,43,34,0,0,0,0,0,0,0,148,156,15,33,105,9,142,69,10,121
304,18,56,50,49,51,43,37,0,0,0,0,0,0,0,149,155,19,28,106,11,140,64,11,133
318,18,54,50,46,51,50,49,0,0,0,0,0,0,0,157,161,32,36,101,26,123,62,12,132
321,18,56,51,48,44,55,49,0,0,0,0,0,0,0,160,161,24,45,109,21,122,74,15,139
340,36,50,53,48,49,48,56,0,0,0,0,0,0,0,163,177,25,43,120,25,127,85,19,157
331,36,48,48,56,48,49,46,0,0,0,0,0,0,0,163,168,20,43,113,28,127,85,17,164
355,35,62,53,47,55,51,52,0,0,0,0,0,0,0,161,194,24,40,139,31,121,91,21,188
244,0,0,0,0,0,0,0,79,72,93,0,0,0,0,112,132,32,51,152,5,4,68,39,174
235,0,0,0,0,0,0,0,81,76,78,0,0,0,0,105,130,38,54,132,5,6,77,32,170
264,0,0,0,0,0,0,0,100,84,80,0,0,0,0,117,147,40,59,154,6,5,88,20,183
283,0,0,0,0,0,0,0,101,97,85,0,0,0,0,126,157,41,77,156,4,5,103,29,195
256,0,0,0,0,0,0,0,70,90,96,0,0,0,0,111,145,35,70,145,2,4,98,23,205
